"carat","cut","color","clarity","depth","table","price","x","y","z"
2.04,"Good","D","SI1",61.9,60,18468,8.15,8.11,5.03
0.33,"Ideal","D","VS1",61,56,839,4.45,4.47,2.72
2.01,"Good","G","SI1",63.1,59,18572,7.98,8.03,5.05
1.01,"Premium","H","SI2",62.8,61,3959,6.33,6.25,3.95
1.27,"Ideal","J","SI2",62.6,57,4693,6.85,6.88,4.3
0.3,"Ideal","E","VVS2",62.1,54,742,4.32,4.35,2.69
1.47,"Premium","I","SI2",61.6,59,6403,7.29,7.32,4.5
0.71,"Ideal","G","SI1",61.6,56,2649,5.73,5.76,3.54
1.54,"Ideal","E","VS2",62,56,14529,7.46,7.43,4.61
1.07,"Very Good","H","SI1",62.3,57,5752,6.53,6.64,4.1
0.81,"Premium","H","SI2",61.6,62,2313,6,5.92,3.67
0.42,"Very Good","D","SI2",60.8,59,700,4.77,4.83,2.92
0.7,"Premium","E","SI1",62.7,59,2777,5.67,5.63,3.54
1.03,"Good","G","SI1",63.2,58,4679,6.38,6.43,4.05
2.05,"Fair","I","VS1",67.7,58,17408,7.74,7.68,5.22
0.78,"Fair","E","SI2",66.9,57,2721,5.7,5.66,3.6
1.06,"Ideal","J","VS2",61.4,56,5459,6.55,6.6,4.04
1.23,"Ideal","F","SI2",62.1,57,4819,6.83,6.8,4.23
1.63,"Premium","G","SI1",61,59,11721,7.64,7.58,4.64
0.33,"Ideal","E","VS2",61.9,56,723,4.43,4.46,2.75
1.01,"Premium","H","VS2",61.6,59,5166,6.39,6.41,3.94
0.4,"Good","D","SI2",63.9,53,622,4.68,4.71,3
0.58,"Ideal","G","VS1",60.6,56,1899,5.43,5.48,3.3
0.31,"Ideal","F","IF",61,56,1168,4.38,4.41,2.68
0.59,"Ideal","I","VVS1",61,55,1742,5.43,5.48,3.33
0.56,"Ideal","F","VS2",61.6,55,1814,5.32,5.29,3.27
1.02,"Fair","I","SI2",65.5,57,3802,6.19,6.24,4.07
1.51,"Very Good","G","VS1",63.5,55,13624,7.26,7.3,4.62
0.95,"Good","G","VVS2",57.7,59.7,5817,6.5,6.58,3.77
1.3,"Ideal","F","VVS2",62.1,55,12745,7.04,6.96,4.35
0.72,"Very Good","D","VS2",62.1,59,3016,5.7,5.73,3.55
0.42,"Premium","G","VS1",62.5,59,921,4.72,4.79,2.97
0.76,"Ideal","G","VS1",59.4,57,2972,5.99,6.03,3.57
0.38,"Premium","D","VVS2",60.8,55,1009,4.71,4.67,2.85
1.59,"Premium","J","SI1",62.5,60,7836,7.46,7.42,4.65
1,"Good","D","SI2",63.5,59,4218,6.32,6.35,4.02
0.81,"Good","D","SI1",64.1,54,3324,5.92,5.96,3.81
0.55,"Premium","H","VS2",60.2,59,1387,5.36,5.24,3.19
1.62,"Very Good","H","SI1",62.2,58,11351,7.46,7.5,4.65
0.52,"Ideal","F","VVS2",61.8,56,2216,5.2,5.17,3.2
0.53,"Ideal","D","VS2",61,56,1783,5.29,5.26,3.22
1.16,"Ideal","G","IF",62,57,10082,6.73,6.7,4.16
1.12,"Premium","I","SI1",61.1,59,4373,6.66,6.69,4.08
1.21,"Ideal","H","VS1",62.8,54,7928,6.81,6.78,4.26
1.19,"Ideal","D","VS1",61.1,57,10079,6.84,6.87,4.19
0.35,"Ideal","D","VS2",60.6,57,964,4.63,4.58,2.79
0.23,"Very Good","F","VVS1",62.3,55,583,3.93,3.96,2.46
0.31,"Very Good","F","VS2",58.3,61,583,4.44,4.48,2.6
0.71,"Fair","F","SI1",57,68,2198,6.05,5.87,3.4
0.6,"Ideal","E","VVS1",62.5,53.7,3082,5.35,5.43,3.38
1.12,"Ideal","D","SI1",60.5,56,7153,6.75,6.78,4.09
1.01,"Very Good","I","SI1",63.1,58,3563,6.38,6.33,4.01
1.07,"Very Good","G","VS2",60,56,7611,6.67,6.69,4.01
1.04,"Good","D","SI2",57.6,63,4191,6.67,6.7,3.85
1.5,"Very Good","E","SI2",63.5,60,6300,7.19,7.12,4.54
1.01,"Ideal","E","SI2",62.1,56,4355,6.39,6.43,3.98
0.73,"Ideal","E","VS1",61.9,56,3510,5.78,5.81,3.59
0.55,"Ideal","F","VS1",60.6,56,1890,5.33,5.37,3.24
0.24,"Very Good","E","VS2",63.5,53,419,3.96,3.98,2.52
1.65,"Ideal","D","SI2",61.5,56,10847,7.63,7.69,4.71
0.28,"Ideal","E","VS1",62,56,625,4.21,4.18,2.6
1.29,"Premium","I","VS1",61.1,58,5664,7.03,6.98,4.28
1.17,"Premium","H","SI1",62.3,57,5004,6.75,6.71,4.19
0.32,"Ideal","E","VVS1",61.3,57,1020,4.43,4.38,2.7
0.7,"Ideal","J","VS1",62.8,56,2000,5.64,5.66,3.55
1.21,"Ideal","H","SI2",62.1,55,5692,6.87,6.82,4.25
1.05,"Very Good","D","SI1",59.3,58,6063,6.68,6.74,3.98
1.51,"Premium","J","VVS2",62.6,59,8770,7.31,7.33,4.58
1,"Very Good","G","VS1",59.1,61,6435,6.48,6.54,3.85
1.02,"Premium","D","VS2",59.8,61,6909,6.61,6.54,3.93
0.34,"Premium","F","VS2",62.9,58,880,4.46,4.44,2.8
0.7,"Ideal","I","SI2",62.1,57,2079,5.66,5.71,3.53
1.19,"Good","D","VS1",63.8,55,7437,6.68,6.64,4.25
0.56,"Ideal","D","VS2",60.9,56,1963,5.31,5.36,3.25
0.39,"Very Good","F","VS2",58.4,62,821,4.76,4.79,2.79
1.52,"Very Good","I","SI1",59.9,60,9290,7.46,7.49,4.48
0.37,"Ideal","G","SI1",62,55,586,4.62,4.64,2.87
1.59,"Premium","J","VS2",62.6,59,7953,7.45,7.43,4.66
1.01,"Good","D","SI1",63.1,60,5443,6.32,6.39,4.01
0.32,"Ideal","E","IF",62.6,55,1095,4.38,4.41,2.75
0.34,"Premium","E","VS1",58,60,757,4.63,4.61,2.68
1.04,"Premium","E","SI2",60.1,58,3392,6.65,6.56,3.97
1.52,"Ideal","G","VS1",61.8,56,14482,7.4,7.45,4.59
0.91,"Very Good","D","SI1",63.1,61,4041,6.16,6.1,3.87
0.33,"Ideal","H","VS2",61.2,55,521,4.45,4.47,2.73
0.52,"Premium","D","SI1",62,60,1284,5.18,5.11,3.19
1.21,"Premium","I","SI1",59.3,59,5421,6.98,6.95,4.13
1.02,"Premium","G","SI1",62.3,59,4718,6.44,6.4,4
0.9,"Good","E","SI1",59.8,64,4229,6.14,6.21,3.69
0.54,"Very Good","J","VS2",63,57,1129,5.17,5.21,3.27
0.31,"Ideal","F","VS2",61.9,55,625,4.37,4.39,2.71
0.53,"Premium","D","VS2",60.4,58,1956,5.26,5.23,3.17
1.01,"Premium","H","SI2",61.1,59,4242,6.54,6.46,3.97
0.71,"Ideal","G","VVS1",61.4,59,3332,5.7,5.76,3.52
2.02,"Ideal","F","SI2",62.2,57,16256,8.07,8.03,5.01
1.21,"Ideal","H","VS1",60.7,57,6834,6.86,6.89,4.17
1.15,"Premium","E","SI2",62.3,58,4688,6.73,6.67,4.18
0.91,"Good","H","VS2",62.7,62,3979,6.11,6.21,3.86
0.7,"Good","F","VS1",64,57,2381,5.62,5.54,3.57
0.31,"Very Good","F","IF",61.4,55,914,4.39,4.41,2.7
0.37,"Very Good","D","SI1",61,62,681,4.61,4.64,2.82
1.01,"Premium","F","SI2",62.6,60,4497,6.37,6.35,3.98
0.59,"Ideal","D","VS1",60.9,56,2175,5.39,5.44,3.3
0.72,"Very Good","F","SI1",63.1,56,2670,5.68,5.67,3.58
0.58,"Ideal","E","VVS2",60.9,56,2808,5.41,5.43,3.3
1.42,"Very Good","G","VVS2",62.6,60,12891,7.14,7.17,4.48
1.06,"Premium","E","SI1",62,61,5485,6.55,6.51,4.05
0.91,"Ideal","G","SI2",61,57,4360,6.25,6.28,3.82
0.61,"Ideal","F","VS1",62.3,55,2366,5.46,5.49,3.41
1.51,"Ideal","G","VVS2",62.1,58,15529,7.34,7.31,4.54
1,"Very Good","F","SI1",61.8,58,5058,6.37,6.44,3.96
1.25,"Good","F","VS2",63.9,58,6440,6.76,6.71,4.31
1.01,"Very Good","E","VS2",59.9,57,6622,6.52,6.57,3.92
0.7,"Good","H","VS2",59.1,65,2234,5.75,5.85,3.43
0.72,"Ideal","H","SI1",58.9,56,2398,5.91,5.88,3.47
0.56,"Ideal","F","SI1",61.1,55.9,1685,5.33,5.35,3.26
0.73,"Ideal","H","VVS2",61.6,56,2846,5.79,5.84,3.58
0.7,"Ideal","E","SI1",62.3,56,1758,5.68,5.62,3.52
0.27,"Premium","E","VVS1",60.6,58,799,4.2,4.18,2.54
1.03,"Fair","J","SI2",56.2,62,3246,6.73,6.69,3.77
0.52,"Very Good","H","VS1",62.2,55,1659,5.15,5.18,3.21
1.02,"Very Good","E","VS2",62.9,56,6752,6.37,6.47,4.04
0.56,"Ideal","J","VS2",61.7,54,1094,5.31,5.36,3.29
0.91,"Premium","G","VS1",62.5,61,4570,6.17,6.05,3.82
0.3,"Ideal","G","SI1",62,58,477,4.27,4.29,2.65
0.78,"Ideal","D","VS2",62.9,56,3736,5.85,5.88,3.69
0.33,"Ideal","F","VVS1",62,55,880,4.44,4.47,2.76
1.15,"Ideal","F","VVS2",62.1,55,8743,6.69,6.74,4.17
0.34,"Premium","E","VS2",61.1,60,745,4.45,4.48,2.73
0.71,"Very Good","I","SI1",61.9,58,1898,5.66,5.69,3.51
0.35,"Premium","H","VS1",62.6,59,788,4.5,4.45,2.8
0.51,"Ideal","E","SI2",61,56,1205,5.2,5.16,3.16
1.1,"Premium","E","SI2",59.1,60,4967,6.77,6.7,3.98
1,"Good","G","SI1",62.2,63,5483,6.36,6.41,3.97
1.25,"Premium","G","VS2",61.2,57,7948,6.95,6.91,4.24
2.24,"Ideal","I","SI2",62.1,57,15852,8.31,8.4,5.19
1.26,"Premium","D","SI2",61.9,58,5412,6.88,6.81,4.24
0.33,"Premium","E","VS1",60.9,58,1002,4.49,4.45,2.72
0.3,"Ideal","E","VVS2",61.9,55,766,4.3,4.33,2.67
0.5,"Very Good","H","VVS2",62.9,56,1569,5.03,5.08,3.18
1.08,"Premium","F","SI2",60.2,59,4488,6.65,6.6,3.99
0.57,"Ideal","H","VVS1",61.8,55,1929,5.33,5.38,3.31
0.7,"Very Good","I","VS1",63.1,57,2411,5.67,5.59,3.55
0.47,"Ideal","E","VS1",61.8,53,1721,4.99,5.04,3.1
0.58,"Good","G","VS1",59,62,1777,5.44,5.48,3.22
0.31,"Ideal","D","SI1",62.4,56,571,4.33,4.35,2.71
0.32,"Premium","E","VS2",61.6,59,768,4.43,4.4,2.72
0.31,"Ideal","F","VVS1",61,56,840,4.39,4.43,2.69
1.5,"Very Good","G","SI2",58.5,62,8580,7.4,7.44,4.34
0.41,"Very Good","H","VVS2",62.4,54,873,4.75,4.77,2.97
0.5,"Ideal","F","SI1",62.7,57,1282,5.06,5.09,3.18
1.53,"Premium","D","SI1",61.6,58,10907,7.42,7.35,4.55
0.54,"Very Good","D","SI1",62,55,1662,5.21,5.24,3.24
0.52,"Ideal","I","SI1",61.8,54,1094,5.16,5.19,3.2
0.72,"Ideal","F","SI2",62,57,1743,5.68,5.64,3.51
0.32,"Ideal","G","VS2",61.4,56,720,4.39,4.37,2.69
0.9,"Premium","E","SI1",59.8,55,4385,6.34,6.3,3.78
0.31,"Premium","H","VS2",59.7,61,628,4.42,4.39,2.63
1.52,"Very Good","G","VS1",59.3,59,12916,7.48,7.55,4.46
0.72,"Very Good","E","SI1",57.9,58,2610,5.92,5.96,3.44
0.26,"Very Good","E","VVS1",61.4,58,597,4.12,4.15,2.54
0.7,"Fair","F","VS2",65.3,55,2762,5.63,5.58,3.66
1.03,"Ideal","D","SI2",60.7,58,5836,6.51,6.53,3.96
1.54,"Very Good","H","VS2",62.1,62,11527,7.31,7.38,4.56
0.32,"Ideal","G","VS1",62.8,54,828,4.41,4.38,2.76
1.52,"Premium","G","SI1",61.6,57,9952,7.4,7.33,4.54
0.83,"Premium","E","SI2",59.2,60,2859,6.17,6.12,3.64
1.19,"Very Good","H","SI2",63.4,58,4558,6.79,6.76,4.29
0.23,"Very Good","E","VVS2",59.4,59,530,4.03,4.08,2.41
0.3,"Premium","H","VVS2",60.8,60,605,4.29,4.33,2.62
1,"Fair","G","SI1",65.7,54,2964,6.24,6.16,4.07
2.01,"Premium","F","SI2",61.3,58,14067,8.14,8.07,4.97
0.4,"Very Good","E","VS2",60.4,63,791,4.68,4.72,2.84
1.71,"Good","I","VS2",58,60,11250,7.85,7.9,4.57
0.73,"Ideal","G","VVS1",61.6,56,3913,5.76,5.79,3.56
0.34,"Ideal","E","SI1",61.2,57,637,4.48,4.51,2.75
0.29,"Ideal","D","VS1",61.7,57,647,4.26,4.23,2.62
0.54,"Ideal","G","VS1",60.1,57,1957,5.29,5.31,3.18
0.51,"Premium","G","VS1",62.3,59,1781,5.12,5.06,3.17
0.31,"Very Good","E","VS2",62.8,57,680,4.33,4.37,2.73
0.31,"Ideal","G","VS1",61.5,56,802,4.43,4.39,2.71
0.33,"Very Good","H","VVS2",61.9,55,614,4.44,4.46,2.75
2.06,"Very Good","F","SI2",61.5,56,16603,8.15,8.18,5.02
0.9,"Premium","F","VS1",62.7,58,5088,6.14,6.17,3.86
0.32,"Ideal","G","VVS2",61.3,55,698,4.4,4.44,2.71
0.5,"Ideal","E","VVS2",62.2,54,2889,5.08,5.12,3.17
0.8,"Ideal","F","VVS2",61.6,57,4140,5.97,5.94,3.67
1.06,"Ideal","I","VS2",62.3,56,4530,6.56,6.51,4.07
0.5,"Ideal","E","VS2",62.2,56,1629,5.12,5.11,3.18
0.54,"Ideal","E","VS2",60.5,56,1754,5.26,5.28,3.19
0.5,"Very Good","F","VVS2",61.9,56,2003,5.09,5.12,3.16
0.9,"Good","F","VS1",63.8,56,3750,5.99,5.92,3.8
1.55,"Premium","H","VS2",60.7,58,11567,7.51,7.47,4.55
1.16,"Ideal","G","VS2",61.7,57,7243,6.8,6.72,4.17
0.46,"Very Good","G","VS1",61.4,59.7,1179,4.94,4.97,3.05
0.7,"Premium","F","SI1",62.6,55,2184,5.65,4.5,3
0.4,"Ideal","E","VVS2",61.5,56,1158,4.74,4.79,2.93
0.32,"Ideal","I","SI1",62.4,57,432,4.35,4.37,2.72
1.05,"Very Good","G","SI2",61.6,60,4241,6.49,6.56,4.02
0.33,"Ideal","E","VVS1",61.8,57,984,4.4,4.43,2.73
0.3,"Ideal","D","SI1",62.5,57,552,4.29,4.32,2.69
0.46,"Ideal","H","SI1",61.7,55,807,4.99,5.02,3.09
0.37,"Premium","F","VS2",62.7,58,957,4.58,4.55,2.86
1.3,"Premium","F","VS1",62.5,58,11392,6.97,6.94,4.35
0.8,"Ideal","F","SI2",59.9,59,2762,6.01,6.07,3.62
0.95,"Very Good","I","SI1",63.5,58,3378,6.19,6.16,3.92
0.3,"Ideal","H","VS2",61.4,55,491,4.34,4.36,2.67
1.01,"Good","G","VS1",63.7,56,6529,6.37,6.29,4.03
1.25,"Very Good","F","SI1",61.4,56,7956,6.91,6.94,4.25
0.25,"Ideal","G","VVS2",62,54,525,4.05,4.08,2.52
0.3,"Very Good","G","VS2",63.5,59,644,4.22,4.17,2.66
0.5,"Premium","F","VS2",61.8,58,1654,5.1,5.06,3.14
1.12,"Very Good","F","SI1",61.4,63,5374,6.7,6.68,4.11
0.57,"Premium","I","VVS1",62.1,58,1728,5.32,5.25,3.28
0.7,"Ideal","G","VS1",61.9,55,3384,5.67,5.71,3.52
0.77,"Very Good","F","VS2",62.6,55,3692,5.85,5.88,3.67
0.4,"Very Good","E","SI2",62.9,58,666,4.7,4.74,2.97
0.55,"Premium","E","VS2",61.1,58,1928,5.28,5.3,3.23
0.46,"Very Good","F","VS2",59.9,55,1258,5.06,5.08,3.04
1.27,"Premium","G","VVS2",61,58,10203,6.96,7.01,4.26
0.73,"Premium","D","VS2",60.9,59,2947,5.82,5.77,3.53
0.5,"Premium","E","VS2",61.8,58,1746,5.09,5.07,3.14
0.33,"Very Good","I","SI1",63,57,434,4.37,4.39,2.76
0.4,"Ideal","E","VS2",62.2,55,1090,4.71,4.77,2.95
1.23,"Ideal","H","SI2",60.6,56,6199,6.94,6.92,4.2
0.73,"Ideal","G","VS1",62,55,3342,5.74,5.79,3.58
0.35,"Ideal","D","VS2",61.6,56,1063,4.56,4.53,2.8
0.7,"Ideal","H","VVS2",61,56,3325,5.75,5.78,3.52
0.3,"Ideal","G","VS1",61.8,56,624,4.31,4.33,2.67
0.69,"Ideal","G","SI1",62.4,56,2297,5.66,5.69,3.55
1.01,"Premium","F","SI2",58.8,62,4197,6.49,6.46,3.81
1.31,"Premium","G","VS2",60.3,59,8979,7.12,7.08,4.28
0.82,"Very Good","G","VS1",63.3,56,3460,5.96,5.98,3.78
0.8,"Ideal","G","SI1",62.5,57,2870,5.94,5.9,3.7
1.18,"Ideal","G","VVS2",61.3,55,10308,6.86,6.81,4.19
0.4,"Ideal","E","VS1",61.3,56,1252,4.76,4.8,2.93
1.24,"Premium","H","SI2",60.4,59,5277,6.99,6.92,4.2
1.52,"Premium","J","SI1",60.4,59,5618,7.44,7.39,4.48
0.5,"Very Good","E","VVS1",60.1,56,2495,5.16,5.19,3.11
0.53,"Ideal","H","VS1",61.6,55,1678,5.2,5.22,3.21
1.23,"Ideal","J","VS2",61.8,56,4986,6.87,6.81,4.23
1.14,"Premium","G","SI2",60.4,59,4884,6.8,6.78,4.1
1.51,"Premium","F","VS2",62,62,13771,7.35,7.23,4.52
0.32,"Ideal","G","VS2",59.8,57,561,4.43,4.46,2.66
0.84,"Ideal","G","VS1",61.8,56,4325,6.02,6.11,3.75
2.18,"Very Good","G","SI2",63.3,59,12377,8.25,8.2,5.2
1.23,"Premium","I","SI2",62.5,60,5269,6.82,6.75,4.24
1,"Good","D","SI2",64,59,3634,6.29,6.24,4.01
0.37,"Ideal","F","VS2",61.1,57,746,4.63,4.67,2.84
0.32,"Very Good","G","VS2",60.9,58,564,4.42,4.45,2.7
0.52,"Ideal","H","VS1",61.7,55,1665,5.17,5.21,3.2
2.01,"Fair","H","SI2",61.2,66,13587,8.21,8.09,4.98
0.3,"Ideal","D","VS2",62.4,55,616,4.3,4.32,2.69
0.91,"Good","J","I1",63.1,57,1945,6.06,6.12,3.84
1.23,"Premium","F","SI1",62.5,58,5641,6.83,6.76,4.25
0.51,"Fair","F","VS2",56.3,61,1602,5.34,5.29,2.99
0.54,"Ideal","G","IF",61.6,57,2361,5.22,5.27,3.23
1.54,"Very Good","I","VS2",62.2,58,8656,7.32,7.37,4.57
0.81,"Very Good","I","VS2",64,60,2714,5.84,5.88,3.75
1.24,"Very Good","H","SI1",62.4,58,6625,6.93,6.82,4.29
1.14,"Ideal","E","VVS2",62.3,55,10703,6.71,6.68,4.17
1.56,"Ideal","H","SI1",62.4,53.7,10536,7.43,7.48,4.65
1.01,"Premium","H","VS2",61,61,5190,6.47,6.39,3.92
0.55,"Ideal","G","VVS2",62,57,2129,5.26,5.22,3.25
0.9,"Ideal","G","SI2",62.7,53,3805,6.18,6.22,3.89
0.41,"Good","E","SI1",63.5,57,755,4.69,4.73,2.99
0.48,"Very Good","F","VVS1",62.3,55,1914,5.02,5.05,3.13
0.91,"Premium","D","SI1",60.2,58,4816,6.31,6.28,3.79
0.33,"Ideal","G","VS1",62.4,56,666,4.43,4.45,2.77
1.24,"Ideal","E","SI2",59.2,55,5444,7.05,7.03,4.17
2.02,"Ideal","J","SI1",62.2,57,13132,8.06,8.11,5.03
0.54,"Ideal","H","VVS2",61.8,56,1696,5.25,5.27,3.25
1.69,"Very Good","E","VS2",62.7,58,17803,7.52,7.6,4.74
0.84,"Very Good","I","VVS2",61.7,56,3392,6.03,6.07,3.74
0.32,"Ideal","G","IF",62.1,55,918,4.4,4.46,2.75
0.31,"Very Good","J","SI1",61.9,59,363,4.28,4.32,2.66
1.15,"Ideal","I","SI2",61.3,57,5216,6.78,6.71,4.13
0.52,"Very Good","E","SI1",62.9,59,1389,5.12,5.15,3.23
0.7,"Premium","E","SI1",60.5,58,2777,5.77,5.74,3.48
0.5,"Very Good","H","VS1",62.5,59,1429,5.01,5.04,3.14
0.34,"Very Good","G","VS2",60.3,54,596,4.53,4.56,2.74
0.62,"Very Good","F","VS2",59.5,63,1832,5.54,5.49,3.28
0.52,"Ideal","E","SI1",60.7,55,1656,5.23,5.22,3.18
0.52,"Ideal","D","VS2",61.8,55,1822,5.16,5.19,3.2
0.34,"Premium","G","VS2",61.3,58,596,4.51,4.53,2.77
0.31,"Ideal","E","IF",61.3,58,1002,4.37,4.4,2.69
1.74,"Ideal","E","SI1",62.2,56,15847,7.67,7.72,4.79
0.7,"Premium","H","SI1",62.7,59,2020,5.68,5.63,3.55
2.12,"Very Good","H","SI1",60.7,55,18118,8.28,8.36,5.05
1.01,"Good","G","VVS2",63.2,59,7137,6.27,6.35,3.99
0.9,"Very Good","F","VS1",60.7,57,5242,6.16,6.23,3.76
0.51,"Ideal","G","SI1",61.5,55.5,1254,5.13,5.19,3.17
0.48,"Premium","F","SI1",59.6,59,1020,5.13,5.11,3.05
0.43,"Ideal","G","SI1",61.8,55,795,4.85,4.89,3.01
0.38,"Ideal","G","VS1",62.3,55,817,4.63,4.68,2.9
0.52,"Ideal","F","VS2",60.3,57,1429,5.2,5.24,3.15
0.42,"Ideal","F","VVS2",62.2,56,1221,4.82,4.79,2.99
0.3,"Very Good","E","VS2",62.4,56,658,4.25,4.28,2.66
1.14,"Ideal","H","VS2",61.6,56,5937,6.72,6.68,4.13
0.28,"Ideal","F","VS1",60.2,56,598,4.3,4.31,2.59
1.22,"Premium","G","SI1",60.7,59,6492,6.92,6.96,4.21
0.59,"Ideal","E","VS1",61.6,57,2172,5.35,5.39,3.31
1.22,"Ideal","J","VS2",61,55,6052,6.92,6.96,4.23
0.71,"Very Good","G","SI1",63.2,58,2147,5.68,5.65,3.58
1.82,"Premium","H","VS2",61.6,60,14749,7.78,7.74,4.78
0.75,"Premium","E","SI2",61.9,55,2214,5.89,5.84,3.63
1.25,"Ideal","I","VS1",61.6,56,7485,6.91,6.95,4.27
0.3,"Premium","I","VVS1",62.6,60,709,4.28,4.25,2.67
1.02,"Premium","H","SI1",59.1,60,4037,6.59,6.54,3.88
0.71,"Very Good","F","SI1",64,58,2345,5.59,5.66,3.6
1.23,"Ideal","I","SI1",62.1,57,6449,6.83,6.88,4.26
1.05,"Good","E","SI1",64.2,61,4967,6.41,6.33,4.09
1.1,"Premium","G","VS1",58.4,60,7399,6.85,6.81,3.99
2.07,"Premium","H","SI1",62,58,13786,8.17,8.09,5.04
0.55,"Very Good","E","VS2",61.2,57,1725,5.22,5.27,3.21
1,"Premium","H","SI1",62.7,59,4788,6.37,6.3,3.97
0.91,"Fair","D","VS2",65.7,58,4107,6.04,5.99,3.95
1.14,"Very Good","H","VS2",59.9,57,5053,6.78,6.81,4.07
1.04,"Ideal","F","SI1",62.1,56,4426,6.54,6.47,4.04
0.26,"Very Good","F","VS1",61.9,57,499,4.11,4.14,2.55
0.9,"Good","F","SI2",63.1,58,3519,6.11,6.13,3.86
0.51,"Ideal","D","SI1",61,56,1431,5.15,5.17,3.15
0.51,"Premium","I","VS2",62.9,55,1179,5.12,5.08,3.21
1.27,"Very Good","I","SI2",59.7,57,5371,6.99,7.04,4.19
0.42,"Ideal","I","VS1",62,55,773,4.83,4.85,3
0.7,"Ideal","D","VS1",61.5,57,4323,5.68,5.71,3.5
1,"Very Good","G","SI1",59.6,60,4997,6.43,6.49,3.85
0.39,"Very Good","D","VS1",61.7,59,876,4.64,4.69,2.88
2.11,"Premium","D","SI2",58.7,60,15198,8.45,8.41,4.95
0.32,"Ideal","G","VVS1",62.2,53,814,4.42,4.45,2.76
0.95,"Ideal","G","SI1",60.7,56,4469,6.31,6.27,3.82
0.37,"Ideal","H","VS1",61.8,55,668,4.63,4.66,2.87
0.31,"Ideal","E","VVS2",61.8,54,864,4.34,4.36,2.69
0.41,"Ideal","F","VS1",62.7,55,1076,4.77,4.74,2.98
1.5,"Ideal","G","SI1",61,57,12009,7.38,7.41,4.51
0.39,"Premium","I","VVS1",61.5,59,821,4.67,4.7,2.88
1.08,"Ideal","E","SI2",61.7,57,5080,6.6,6.55,4.06
0.72,"Ideal","G","SI1",60.7,56,2776,5.79,5.82,3.53
0.37,"Ideal","E","VS2",62.6,56,1041,4.61,4.56,2.87
0.4,"Premium","G","SI1",62,59,900,4.74,4.71,2.93
2.04,"Premium","H","SI1",62.2,60,12341,8.07,8,5
0.51,"Ideal","G","IF",61.4,54,2208,5.18,5.24,3.2
0.42,"Good","H","SI1",63.2,58,700,4.77,4.79,3.02
0.75,"Very Good","E","VS2",60.4,56,3817,5.9,5.96,3.58
1.52,"Good","J","VS2",63.3,56,7370,7.27,7.33,4.62
0.41,"Ideal","D","SI1",60.3,57,1015,4.86,4.82,2.92
1.2,"Ideal","I","VS2",62.5,56,5634,6.77,6.74,4.22
0.51,"Ideal","E","VVS1",62.3,53.7,2524,5.1,5.12,3.19
0.7,"Ideal","E","VS2",62.1,54,2839,5.69,5.72,3.54
0.3,"Very Good","H","VVS2",62,55,533,4.28,4.32,2.67
0.73,"Ideal","D","SI1",61.2,57,2947,5.79,5.81,3.55
1.45,"Ideal","J","VS2",61.9,59,7477,7.16,7.21,4.45
0.7,"Very Good","I","VS1",63.3,55,1995,5.64,5.6,3.56
0.3,"Premium","D","VS2",61.7,59,710,4.25,4.28,2.63
1.18,"Ideal","G","VS1",61.3,56,8414,6.81,6.83,4.17
1.51,"Very Good","F","SI1",62.6,57,12141,7.25,7.31,4.56
0.58,"Ideal","D","SI2",61.2,57,1442,5.4,5.36,3.29
0.43,"Premium","H","I1",62,59,452,4.78,4.83,2.98
0.76,"Premium","E","SI2",59.3,62,2329,6.01,5.96,3.55
0.7,"Premium","J","SI1",63,56,1827,5.66,5.61,3.55
1.6,"Ideal","E","SI1",61.9,54,11437,7.56,7.5,4.66
0.73,"Ideal","F","VVS1",61.1,56,4171,5.83,5.86,3.57
0.58,"Ideal","E","VS1",61.8,57,2046,5.33,5.35,3.3
1.71,"Good","G","SI2",63.7,57,6847,7.54,7.5,4.79
1.21,"Premium","H","SI1",59.5,58,6025,7.02,6.96,4.16
0.3,"Ideal","F","SI1",61.9,56,475,4.3,4.32,2.67
0.91,"Ideal","D","VS1",62.3,59,6652,6.16,6.19,3.85
1.12,"Premium","G","SI2",61.2,58,4084,6.67,6.69,4.09
0.53,"Ideal","D","VS2",61.2,55,1956,5.25,5.21,3.2
0.9,"Very Good","G","SI1",63.5,59,3649,6.07,6.11,3.87
1.51,"Ideal","H","VS1",61.2,58,10186,7.36,7.42,4.52
1.25,"Ideal","F","VVS1",62.2,56,12698,6.93,6.89,4.3
0.52,"Ideal","G","SI1",62.4,55,1325,5.15,5.17,3.22
0.74,"Premium","F","VS1",62.5,60,2917,5.78,5.74,3.6
0.43,"Ideal","I","VS2",62,55,716,4.84,4.87,3.01
0.51,"Ideal","E","VS2",61.7,53,1590,5.18,5.2,3.2
1.02,"Very Good","F","VS2",61.7,58,6479,6.47,6.5,4
1,"Premium","H","I1",61.3,60,2818,6.43,6.39,3.93
0.71,"Premium","J","VS2",60.1,61,1968,5.82,5.77,3.48
0.38,"Very Good","D","VS2",58.8,61,871,4.72,4.77,2.79
1.01,"Premium","D","SI2",60.8,61,4338,6.5,6.45,3.94
0.31,"Ideal","F","IF",62,54,914,4.38,4.4,2.72
0.9,"Very Good","E","VS2",63.4,59,3894,6.19,6.11,3.9
0.39,"Premium","G","VS2",60.4,61,942,4.73,4.71,2.85
1.23,"Premium","H","VS1",61.1,58,7577,6.91,6.86,4.21
0.4,"Good","E","SI1",64.2,56,682,4.66,4.69,3
